"imdb_id" "name" "gross" "date" "theater" "time" "num_of_shows" "ticket_price" "num_of_attendees" "day" "avg_attendence"
"332" "tt0091369" "LABYRINTH (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/153?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 382 2016-01-25 2 "21:30" 1 8 48 "Monday" 48
"333" "tt0091369" "LABYRINTH (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/154?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 367 2016-01-26 2 "18:20" 1 8 46 "Tuesday" 46
"334" "tt0091369" "LABYRINTH" 528 2016-01-27 1 "18:15" 1 8 66 "Wednesday" 66
"335" "tt0091419" "LITTLE SHOP OF HORRORS (<a target=”_blank” href=http://brownpapertickets.com/event/456199>Purchase Tickets Online</a>)" 344 2013-09-14 1 "22:30" 1 8 43 "Saturday" 43
"336" "tt0091419" "LITTLE SHOP OF HORRORS (Reel Rock) (<a target=”_blank” href=http://brownpapertickets.com/event/893976>Purchase Tickets Online</a>)" 298 2014-10-24 2 "22:30" 1 8 37 "Friday" 37
"337" "tt0091814" "QUICKSILVER (Cycle Cinema) (<a target=”_blank” href=http://brownpapertickets.com/event/764180>Purchase Tickets Online</a>)" 240 2014-08-21 1 "21:30" 1 8 30 "Thursday" 30
"338" "tt0091954" "SID AND NANCY (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/1053922>Purchase Tickets Online</a>)" 156 2015-01-22 2 "21:30" 1 8 20 "Thursday" 20
"339" "tt0092005" "STAND BY ME (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/613697>Purchase Tickets Online</a>)" 182 2014-05-01 2 "21:15" 1 8 23 "Thursday" 23
"340" "tt0092890" "DIRTY DANCING (<a target=”_blank” href=http://brownpapertickets.com/event/1181264>Purchase Tickets Online</a>)" 1136 2015-02-14 1 "19:30" 1 8 142 "Saturday" 142
"341" "tt0092890" "DIRTY DANCING (Blockbusters) (<a target=”_blank” href=http://brownpapertickets.com/event/2403673>Purchase Tickets Online</a>)" 282 2015-11-19 2 "21:30" 1 8 35 "Thursday" 35
"342" "tt0093177" "HELLRAISER (Misery Ann Mayhem's Cinemacabre)(<a target=”_blank” href=http://brownpapertickets.com/event/508441>Purchase Tickets Online</a>)" 210 2013-11-22 2 "22:30" 1 8 26 "Friday" 26
"343" "tt0093437" "THE LOST BOYS (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/596359>Purchase Tickets Online</a>) (This showtime is subject to change)" 624 2014-04-24 2 "21:15" 1 8 78 "Thursday" 78
"344" "tt0093437" "THE LOST BOYS (Blast from the Past) (<a target=”_blank” href=http://brownpapertickets.com/event/2406227>Purchase Tickets Online</a>)" 1560 2015-10-22 2 "21:15" 2 8 195 "Thursday" 98
"345" "tt0093779" "THE PRINCESS BRIDE" 1695 2014-02-14 2 "21:15" 1 8 212 "Friday" 212
"346" "tt0093779" "THE PRINCESS BRIDE" 560 2014-02-15 2 "22:10" 1 8 70 "Saturday" 70
"347" "tt0093779" "THE PRINCESS BRIDE" 315 2014-02-18 2 "21:30" 1 8 39 "Tuesday" 39
"348" "tt0093779" "THE PRINCESS BRIDE" 508 2014-02-21 2 "20:20" 1 8 64 "Friday" 64
"349" "tt0093779" "THE PRINCESS BRIDE" 542 2014-02-22 2 "22:15" 2 8 68 "Saturday" 34
"350" "tt0093779" "THE PRINCESS BRIDE" 464 2014-04-19 1 "21:00" 1 8 58 "Saturday" 58
"351" "tt0093779" "THE PRINCESS BRIDE" 215 2014-04-20 1 "17:30" 1 8 27 "Sunday" 27
"352" "tt0093779" "THE PRINCESS BRIDE (Baby Brigade)" 122 2014-04-21 2 "18:30" 1 8 15 "Monday" 15
"353" "tt0093779" "THE PRINCESS BRIDE" 116 2014-04-22 2 "21:30" 1 8 14 "Tuesday" 14
"354" "tt0093779" "THE PRINCESS BRIDE (Must end tonight!)" 178 2014-04-23 2 "19:00" 1 8 22 "Wednesday" 22
"355" "tt0093779" "THE PRINCESS BRIDE" 163 2015-04-10 1 "16:00" 1 8 20 "Friday" 20
"356" "tt0093779" "THE PRINCESS BRIDE" 736 2015-04-11 2 "12:20" 2 8 92 "Saturday" 46
"357" "tt0093779" "THE PRINCESS BRIDE" 186 2015-04-12 1 "12:15" 1 8 23 "Sunday" 23
"358" "tt0093779" "THE PRINCESS BRIDE (Baby Brigade)" 256 2015-04-13 2 "18:30" 1 8 32 "Monday" 32
"359" "tt0093779" "THE PRINCESS BRIDE" 424 2015-04-15 2 "18:30" 1 8 53 "Wednesday" 53
"360" "tt0093779" "THE PRINCESS BRIDE" 164 2015-04-16 2 "21:30" 1 8 20 "Thursday" 20
"361" "tt0093779" "THE PRINCESS BRIDE" 260 2015-04-17 1 "18:00" 1 8 32 "Friday" 32
"362" "tt0093779" "THE PRINCESS BRIDE" 328 2015-04-18 2 "17:00" 1 8 41 "Saturday" 41
"363" "tt0093779" "THE PRINCESS BRIDE" 243 2015-04-19 1 "15:15" 1 8 30 "Sunday" 30
"364" "tt0093779" "THE PRINCESS BRIDE" 340 2015-12-19 2 "19:30" 1 8 42 "Saturday" 42
"365" "tt0093779" "THE PRINCESS BRIDE" 216 2015-12-20 1 "12:15" 1 8 27 "Sunday" 27
"366" "tt0093779" "THE PRINCESS BRIDE" 136 2015-12-21 1 "21:10" 1 8 17 "Monday" 17
"367" "tt0093822" "RAISING ARIZONA (New Parkway Cult Night) (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/612270>Purchase Tickets Online</a>)" 217 2014-04-18 2 "22:30" 1 8 27 "Friday" 27
"368" "tt0094517" "Mystery Science Theater 3000 : The Incredibly Strange Creatures who Stopped Living and Became Mixed-up Zombies (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/398203\">Purchase Tickets Online</a>)" 684 2013-06-14 1 "22:45" 1 8 86 "Friday" 86
"369" "tt0094517" "Mystery Science Theater 3000 : The New Parkway Presents a Mystery Episode!!! (<a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/414434\">Purchase Tickets Online</a>)" 704 2013-07-12 2 "22:30" 1 8 88 "Friday" 88
"370" "tt0094517" "MYSTERY SCIENCE THEATER 3000 with Preshow Hosted By Oliver Beckwith (<a target=”_blank” href=http://www.brownpapertickets.com/event/433234>Purchase Tickets Online</a>)" 408 2013-08-09 1 "22:30" 1 8 51 "Friday" 51
"371" "tt0094517" "MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/456183>Purchase Tickets Online</a>)" 848 2013-09-13 2 "22:30" 1 8 106 "Friday" 106
"372" "tt0094517" "MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/471689>Purchase Tickets Online</a>)" 239 2013-10-11 1 "22:45" 1 8 30 "Friday" 30
"373" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/543143>Purchase Tickets Online</a>)" 344 2014-01-10 1 "22:30" 1 8 43 "Friday" 43
"374" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/588393>Purchase Tickets Online</a>)" 436 2014-03-14 2 "22:30" 1 8 54 "Friday" 54
"375" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/620236>Purchase Tickets Online</a>)" 412 2014-04-11 2 "22:30" 1 8 52 "Friday" 52
"376" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/671938>Purchase Tickets Online</a>)" 412 2014-05-09 2 "22:30" 1 8 52 "Friday" 52
"377" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/722010>Purchase Tickets Online</a>)" 321 2014-06-13 1 "22:30" 1 8 40 "Friday" 40
"378" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/740749>Purchase Tickets Online</a>)" 338 2014-07-11 2 "22:30" 1 8 42 "Friday" 42
"379" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/783983>Purchase Tickets Online</a>)" 464 2014-08-08 2 "22:30" 1 8 58 "Friday" 58
"380" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/880215>Purchase Tickets Online</a>)" 616 2014-10-10 2 "22:30" 1 8 77 "Friday" 77
"381" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 - HALLOWEEN EDITION (<a target=”_blank” href=http://brownpapertickets.com/event/906221>Purchase Tickets Online</a>)" 704 2014-10-31 2 "21:30" 1 8 88 "Friday" 88
"382" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/970158>Purchase Tickets Online</a>)" 536 2014-12-12 2 "22:30" 1 8 67 "Friday" 67
"383" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1069104>Purchase Tickets Online</a>)" 525 2015-01-09 2 "22:30" 1 8 66 "Friday" 66
"384" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1165957>Purchase Tickets Online</a>)" 506 2015-02-13 1 "22:30" 1 8 63 "Friday" 63
"385" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1331450>Purchase Tickets Online</a>)" 708 2015-03-13 1 "22:30" 1 8 88 "Friday" 88
"386" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1387425>Purchase Tickets Online</a>)" 665 2015-04-10 1 "22:30" 1 8 83 "Friday" 83
"387" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1466038>Purchase Tickets Online</a>)" 662 2015-05-08 1 "22:30" 1 8 83 "Friday" 83
"388" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1644759>Purchase Tickets Online</a>)" 576 2015-06-12 2 "22:30" 1 8 72 "Friday" 72
"389" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 NIGHT! (FNL) (<a target=”_blank” href=http://brownpapertickets.com//event/1766155>Purchase Tickets Online</a>)" 774 2015-07-10 1 "22:30" 1 8 97 "Friday" 97
"390" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/2031708>Purchase Tickets Online</a>)" 512 2015-08-14 2 "22:30" 1 8 64 "Friday" 64
"391" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/2189637>Purchase Tickets Online</a>)" 404 2015-09-11 2 "22:30" 1 8 50 "Friday" 50
"392" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/2304099>Purchase Tickets Online</a>)" 971 2015-10-09 1 "22:30" 1 8 121 "Friday" 121
"393" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 - THE HALLOWEEN EDITION (<a target=”_blank” href=http://brownpapertickets.com/event/2359394>Purchase Tickets Online</a>)" 708 2015-10-31 2 "22:00" 1 8 88 "Saturday" 88
"394" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/2461584>Purchase Tickets Online</a>)" 496 2015-11-13 1 "22:30" 1 8 62 "Friday" 62
"395" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/2467221>Purchase Tickets Online</a>)" 294 2015-12-11 2 "22:30" 2 8 37 "Friday" 18
"396" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/2483186>Purchase Tickets Online</a>)" 834 2016-01-08 1 "22:30" 1 8 104 "Friday" 104
"397" "tt0094517" "MYSTERY MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=http://brownpapertickets.com/event/2490564>Purchase Tickets Online</a>)" 1136 2016-02-12 1 "22:30" 1 8 142 "Friday" 142
"398" "tt0094517" "MYSTERY SCIENCE THEATER 3000 (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/332?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 799 2016-03-11 1 "22:30" 1 8 100 "Friday" 100
"399" "tt0094625" "AKIRA (Staff Pick Night) (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/662599>Purchase Tickets Online</a>)" 713 2014-05-02 1 "22:30" 1 8 89 "Friday" 89
"400" "tt0094625" "AKIRA (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1633707>Purchase Tickets Online</a>)" 334 2015-05-29 2 "22:30" 1 8 42 "Friday" 42
"401" "tt0094721" "BEETLEJUICE (Blockbusters) (<a target=”_blank” href=http://brownpapertickets.com/event/2252802>Purchase Tickets Online</a>)" 1016 2015-10-15 2 "21:30" 1 8 127 "Thursday" 127
"402" "tt0095016" "DIE HARD (Blockbuster Night) (<a target=”_blank” href=http://brownpapertickets.com/event/1644738>Purchase Tickets Online</a>)" 68 2015-06-18 1 "21:30" 1 8 8 "Thursday" 8
"403" "tt0095016" "DIE HARD (Blockbuster Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2491643>Purchase Tickets Online</a>)" 288 2016-02-18 1 "21:30" 1 8 36 "Thursday" 36
"404" "tt0096061" "SCROOGED (Staff Pick Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2468865>Purchase Tickets Online</a>)" 168 2015-12-04 1 "22:45" 1 8 21 "Friday" 21
"405" "tt0096256" "THEY LIVE (FNL) (Staff Pick Night) SOLD OUT! No phone calls or e-mails, please!" 1224 2015-09-04 1 "22:30" 1 8 153 "Friday" 153
"406" "tt0096283" "MY NEIGHBOR TOTORO" 216 2014-12-12 1 "16:00" 1 8 27 "Friday" 27
"407" "tt0096283" "MY NEIGHBOR TOTORO" 185 2014-12-13 2 "13:00" 1 8 23 "Saturday" 23
"408" "tt0096283" "MY NEIGHBOR TOTORO" 218 2014-12-14 2 "13:00" 1 8 27 "Sunday" 27
"409" "tt0096283" "MY NEIGHBOR TOTORO, co-presented by Spoke Art (dubbed) (<a target=”_blank” href=http://thenewparkway.com/?page_id=752>Totally Sold Out, but MORE SHOWS ADDED</a>)" 1264 2016-02-26 1 "17:30" 1 8 158 "Friday" 158
"410" "tt0096283" "MY NEIGHBOR TOTORO (dubbed) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/384?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 951 2016-02-27 2 "15:50" 1 8 119 "Saturday" 119
"411" "tt0096283" "MY NEIGHBOR TOTORO (dubbed) (baby brigade)(<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/385?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 497 2016-02-29 1 "18:30" 1 8 62 "Monday" 62
"412" "tt0096283" "MY NEIGHBOR TOTORO (dubbed) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/386?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 688 2016-03-02 1 "18:20" 1 8 86 "Wednesday" 86
"413" "tt0096283" "MY NEIGHBOR TOTORO (dubbed) (<a target=”_blank” href=*https://ticketing.us.veezi.com/purchase/408?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3DPurchase Tickets Online</a>)" 286 2016-03-04 2 "16:00" 1 8 36 "Friday" 36
"414" "tt0096283" "MY NEIGHBOR TOTORO (dubbed) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/414?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 640 2016-03-05 2 "12:30" 1 8 80 "Saturday" 80
"415" "tt0096283" "MY NEIGHBOR TOTORO (dubbed) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/425?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 255 2016-03-07 1 "18:45" 1 8 32 "Monday" 32
"416" "tt0096283" "MY NEIGHBOR TOTORO (dubbed) (<a target=”_blank” href=*https://ticketing.us.veezi.com/purchase/429?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 352 2016-03-09 1 "18:20" 1 8 44 "Wednesday" 44
"417" "tt0096438" "WHO FRAMED ROGER RABBIT? (Blockbuster Night) (<a target=”_blank” href=http://brownpapertickets.com/event/2033627>Purchase Tickets Online</a>)" 235 2015-08-20 1 "21:30" 1 8 29 "Thursday" 29
"418" "tt0096438" "WHO FRAMED ROGER RABBIT?" 24 2015-08-21 1 "16:00" 1 8 3 "Friday" 3
"419" "tt0096438" "WHO FRAMED ROGER RABBIT?" 96 2015-08-22 1 "14:15" 1 8 12 "Saturday" 12
"420" "tt0096438" "WHO FRAMED ROGER RABBIT?" 184 2015-08-23 1 "13:00" 1 8 23 "Sunday" 23
"421" "tt0096895" "BATMAN (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/669718>Purchase Tickets Online</a>)" 328 2014-06-26 2 "21:30" 1 8 41 "Thursday" 41
"422" "tt0096928" "BILL AND TED'S EXCELLENT ADVENTURE (Blast from the Past) (<a target=”_blank” href=http://brownpapertickets.com/event/2477239>Purchase Tickets Online</a>)" 440 2016-01-28 1 "21:30" 1 8 55 "Thursday" 55
"423" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 361 2015-08-05 1 "16:00" 1 8 45 "Wednesday" 45
"424" "tt0097814" "KIKI'S DELIVERY SERVICE--TOTALLY SOLD OUT.  NO CALLS PLEASE!!" 1183 2015-08-06 1 "21:30" 1 8 148 "Thursday" 148
"425" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 432 2015-08-07 2 "16:00" 2 8 54 "Friday" 27
"426" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 328 2015-08-08 1 "13:30" 1 8 41 "Saturday" 41
"427" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 232 2015-08-09 1 "13:00" 1 8 29 "Sunday" 29
"428" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 121 2015-08-10 1 "16:40" 1 8 15 "Monday" 15
"429" "tt0097814" "KIKI'S DELIVERY SERVICE - In Japanese with English Subtitles" 498 2015-08-11 2 "21:20" 2 8 62 "Tuesday" 31
"430" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 72 2015-08-14 2 "16:00" 1 8 9 "Friday" 9
"431" "tt0097814" "KIKI'S DELIVERY SERVICE - In Japanese with English Subtitles" 400 2015-08-15 2 "21:50" 2 8 50 "Saturday" 25
"432" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 243 2015-08-16 1 "13:00" 1 8 30 "Sunday" 30
"433" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 126 2015-08-17 2 "16:15" 1 8 16 "Monday" 16
"434" "tt0097814" "KIKI'S DELIVERY SERVICE - Dubbed in English" 275 2015-08-18 2 "16:30" 1 8 34 "Tuesday" 34
"435" "tt0098635" "WHEN HARRY MET SALLY (Blast from the Past) (<a target=”_blank” href=http://brownpapertickets.com/event/1766148>Purchase Tickets Online</a>)" 118 2015-07-23 2 "21:30" 1 8 15 "Thursday" 15
"436" "tt0099329" "CRY BABY--TOTALLY SOLD OUT!!" 1240 2016-02-05 1 "22:30" 1 8 155 "Friday" 155
"437" "tt0099785" "HOME ALONE" 64 2015-12-11 1 "16:00" 1 8 8 "Friday" 8
"438" "tt0099785" "HOME ALONE" 200 2015-12-12 1 "12:45" 1 8 25 "Saturday" 25
"439" "tt0099785" "HOME ALONE" 376 2015-12-13 1 "12:40" 1 8 47 "Sunday" 47
"440" "tt0099785" "HOME ALONE - MUST END TONIGHT!" 241 2015-12-16 2 "18:45" 1 8 30 "Wednesday" 30
"441" "tt0099878" "THE JETSONS - THE MOVIE" 63 2013-11-01 1 "16:00" 1 8 8 "Friday" 8
"442" "tt0099878" "THE JETSONS - THE MOVIE" 176 2013-11-02 2 "12:30" 1 8 22 "Saturday" 22
"443" "tt0100935" "WILD AT HEART - author Barry Gifford in person! (Parkway Classics) <a target=\"_blank\" href=\"http://www.brownpapertickets.com/event/378064\">Purchase Tickets Online</a>" 576 2013-05-09 1 "21:00" 1 8 72 "Thursday" 72
"444" "tt0100944" "THE WITCHES (New Parkway Family Classics)" 190 2013-10-12 1 "12:30" 1 8 24 "Saturday" 24
"445" "tt0101889" "THE FISHER KING (Robin Williams Tribute)" 32 2014-08-31 1 "12:40" 1 8 4 "Sunday" 4
"446" "tt0101889" "FISHER KING (Robin Williams Tribute) (<a target=”_blank” href=http://brownpapertickets.com/event/845455>Purchase Tickets Online</a>)" 320 2014-09-01 2 "20:20" 1 8 40 "Monday" 40
"447" "tt0102926" "SILENCE OF THE LAMBS, movie only (Savory Cinema) (<a target=”_blank” href=http://brownpapertickets.com/event/734887>Purchase Tickets Online</a>)" 112 2014-06-24 1 "21:30" 1 8 14 "Tuesday" 14
"448" "tt0103099" "TONGUES UNTIED & LOOKING FOR LANGSTON (SQM) (<a target=”_blank” href=http://brownpapertickets.com/event/513375>Purchase Tickets Online</a>)" 176 2013-11-10 2 "15:00" 1 8 22 "Sunday" 22
"449" "tt0103772" "BASIC INSTINCT (The Queen's Slumber Party)(<a target=”_blank” href=http://brownpapertickets.com/event/508446>Purchase Tickets Online</a>)" 64 2013-11-29 1 "22:30" 1 8 8 "Friday" 8
"450" "tt0103855" "THE BODYGUARD (Blast from the Past) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/243?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 135 2016-02-25 2 "21:15" 1 8 17 "Thursday" 17
"451" "tt0103874" "DRACULA (1992) (Nerve Wrackin' Theater) (<a target=”_blank” href=http://brownpapertickets.com/event/740762>Purchase Tickets Online</a>)" 90 2014-10-18 1 "15:00" 1 8 11 "Saturday" 11
"452" "tt0103893" "BUFFY THE VAMPIRE SLAYER (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/374?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 272 2016-03-24 2 "21:30" 1 8 34 "Thursday" 34
"453" "tt0104694" "A LEAGUE OF THEIR OWN (Party at the Parkway) (<a target=”_blank” href=https://ticketing.us.veezi.com/purchase/407?siteToken=P5WXdOEJ3Eq2eHbZHTAtbg%3D%3D>Purchase Tickets Online</a>)" 802 2016-03-27 1 "20:30" 1 8 100 "Sunday" 100
"454" "tt0105236" "RESERVOIR DOGS (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/596344>Purchase Tickets Online</a>)" 120 2014-04-10 2 "21:15" 1 8 15 "Thursday" 15
"455" "tt0105643" "TROLL 2 (Crapsterpiece Theater)(<a target=”_blank” href=http://brownpapertickets.com/event/498877>Purchase Tickets Online</a>)" 178 2013-10-26 1 "22:30" 1 8 22 "Saturday" 22
"456" "tt0105793" "WAYNE'S WORLD (Staff Pick Night) (<a target=”_blank” href=http://brownpapertickets.com/event/1382135>Purchase Tickets Online</a>)" 320 2015-04-03 2 "22:30" 1 8 40 "Friday" 40
"457" "tt0106308" "ARMY OF DARKNESS (Nerve Wrackin' Theater) (<a target=”_blank” href=http://brownpapertickets.com/event/724184>Purchase Tickets Online</a>)" 224 2014-08-16 2 "15:00" 1 8 28 "Saturday" 28
"458" "tt0106500" "CB4 (Urban Cinema) (<a target=”_blank” href=http://brownpapertickets.com/event/543135>Purchase Tickets Online</a>)" 72 2014-01-03 2 "22:30" 1 8 9 "Friday" 9
"459" "tt0106677" "DAZED AND CONFUSED (Stoner's Delight) (<a target=”_blank” href=http://brownpapertickets.com/event/620254>Purchase Tickets Online</a>)" 268 2014-04-20 2 "21:00" 1 8 34 "Sunday" 34
"460" "tt0107048" "GROUNDHOG DAY" 216 2014-01-31 1 "22:00" 1 8 27 "Friday" 27
"461" "tt0107048" "GROUNDHOG DAY" 144 2014-02-01 1 "15:40" 1 8 18 "Saturday" 18
"462" "tt0107048" "GROUNDHOG DAY" 443 2014-02-02 1 "21:00" 1 8 55 "Sunday" 55
"463" "tt0107048" "GROUNDHOG DAY" 200 2014-02-03 1 "21:30" 1 8 25 "Monday" 25
"464" "tt0107048" "GROUNDHOG DAY (FNL) (<a target=”_blank” href=http://brownpapertickets.com/event/1195920>Purchase Tickets Online</a>)" 144 2015-01-30 2 "22:30" 1 8 18 "Friday" 18
"465" "tt0107048" "GROUNDHOG DAY (<a target=”_blank” href=http://brownpapertickets.com/event/1196008>Purchase Tickets Online</a>)" 292 2015-02-02 1 "21:30" 1 8 36 "Monday" 36
"466" "tt0107290" "JURASSIC PARK (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/1165934>Purchase Tickets Online</a>)" 1252 2015-02-26 1 "21:30" 1 8 156 "Thursday" 156
"467" "tt0107692" "NINJA SCROLL (Animation K.O.) (<a target=”_blank” href=http://brownpapertickets.com/event/2082030>Purchase Tickets Online</a>)" 268 2015-09-03 1 "21:30" 1 8 34 "Thursday" 34
"468" "tt0108281" "TAI CHI MASTER, co-presented by Soja Martial Arts (Martial Arts Matinee) (<a target=”_blank” href=http://brownpapertickets.com/event/583861>Purchase Tickets Online</a>)" 304 2014-04-12 2 "15:00" 1 8 38 "Saturday" 38
"469" "tt0108399" "TRUE ROMANCE (<a target=”_blank” href=http://brownpapertickets.com/event/451898>Purchase Tickets Online</a>) (Parkway Classics)" 564 2013-09-26 2 "21:15" 1 8 70 "Thursday" 70
"470" "tt0109045" "THE ADVENTURES OF PRISCILLA, QUEEN OF THE DESERT (SQM)(<a target=”_blank” href=http://brownpapertickets.com/event/485178>Purchase Tickets Online</a>)" 114 2013-10-27 2 "15:00" 1 8 14 "Sunday" 14
"471" "tt0109686" "DUMB AND DUMBER (Parkway Classics) (<a target=”_blank” href=http://brownpapertickets.com/event/744804>Purchase Tickets Online</a>)" 176 2014-08-28 1 "21:30" 1 8 22 "Thursday" 22
"472" "tt0110057" "HOOP DREAMS (Doc Night) (<a target=”_blank” href=http://brownpapertickets.com/event/446667>Purchase Tickets Online</a>)" 72 2013-09-10 2 "19:00" 1 8 9 "Tuesday" 9
"473" "tt0110148" "INTERVIEW WITH THE VAMPIRE (Party at the Parkway) (<a target=”_blank” href=http://brownpapertickets.com/event/1224575>Purchase Tickets Online</a>)" 288 2015-02-08 1 "21:10" 1 8 36 "Sunday" 36
"474" "tt0110763" "THE PAGEMASTER (Animation KO) (<a target=”_blank” href=http://brownpapertickets.com/event/2475334>Purchase Tickets Online</a>)" 256 2016-01-07 2 "21:30" 1 8 32 "Thursday" 32
